ispb,nome,nome_reduzido,modalidade_participacao,tipo_participacao,inicio_operacao,data_carga
12481100,BIZ IP LTDA.,BIZ IP LTDA.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
16814330,BK IP S.A.,BK IP S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
10506341,BLU IP LTDA.,BLU IP LTDA.,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
34337707,BMP SCD S.A.,BMP SCD S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
11581339,BMP SCMEPP LTDA,BMP SCMEPP LTDA,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
17826860,BMS SCD S.A.,BMS SCD S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
45331622,BNK DIGITAL SCD S.A.,BNK DIGITAL SCD S.A.,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
40557732,BNS CAPITAL PAGAMENTOS LTDA,BNS CAPITAL PAGAMENTOS LTDA,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
62073200,BOFA MERRILL LYNCH BM S.A.,BOFA MERRILL LYNCH BM S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
07115294,BOKU NETWORK BRASIL IP,BOKU NETWORK BRASIL IP,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
36586946,BONUSPAGO SCD S.A.,BONUSPAGO SCD S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
27842177,BPY CCTVM S.A.,BPY CCTVM S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
03130170,BRASIL CARD IP LTDA,BRASIL CARD IP LTDA,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
30507541,BRASIL CASH IP S.A.,BRASIL CASH IP S.A.,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
00000208,BRB - BCO DE BRASILIA S.A.,BRB - BCO DE BRASILIA S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
49933388,BRCONDOS SCD S.A.,BRCONDOS SCD S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
09437293,BRINKS PAY IP LTDA.,BRINKS PAY IP LTDA.,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
24722685,BRX,BRX,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
20520298,BS2 PAYMENTS IP S.A.,BS2 PAYMENTS IP S.A.,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
11491029,BSN,BSN,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
25528753,C.C CREDIVERDE,C.C CREDIVERDE,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
32345784,C6 CTVM LTDA.,C6 CTVM LTDA.,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
00360305,CAIXA ECONOMICA FEDERAL,CAIXA ECONOMICA FEDERAL,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
40083667,CAPITAL CONSIG SCD S.A.,CAPITAL CONSIG SCD S.A.,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
13966572,CAPPTA IP S.A.,CAPPTA IP S.A.,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
21332862,CARTOS SCD S.A.,CARTOS SCD S.A.,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
33207641,CARTWAVE IP,CARTWAVE IP,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
09313766,CARUANA SCFI,CARUANA SCFI,Provedor de Conta Transacional,Direta,,2026-05-11 16:41:39.298146
42873828,CC AGROCREDI LTDA,CC AGROCREDI LTDA,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
